serogroup	1_92_S1counts	25_92_S25counts	49_92_S49counts	73_92_S73counts	2_94_S2counts	26_94_S26counts	50_94_S50counts	74_94_S74counts	3_96_S3counts	27_96_S27counts	51_96_S51counts	75_96_S75counts	4_97_S4counts	28_97_S28counts	52_97_S52counts	76_97_S76counts	5_98_S5counts	29_98_S29counts	53_98_S53counts	77_98_S77counts	6_99_S6counts	30_99_S30counts	54_99_S54counts	78_99_S78counts	7_100_S7counts	31_100_S31counts	55_100_S55counts	79_100_S79counts	8_111_S8counts	32_111_S32counts	56_111_S56counts	80_111_S80counts	9_112_S9counts	33_112_S33counts	57_112_S57counts	81_112_S81counts	10_116_S10counts	34_116_S34counts	58_116_S58counts	82_116_S82counts	11_117_S11counts	35_117_S35counts	59_117_S59counts	83_117_S83counts	12_118_S12counts	36_118_S36counts	60_118_S60counts	84_118_S84counts	13_119_S13counts	37_119_S37counts	61_119_S61counts	85_119_S85counts	14_120_S14counts	38_120_S38counts	62_120_S62counts	86_120_S86counts	15_131_S15counts	39_131_S39counts	63_131_S63counts	87_131_S87counts	16_132_S16counts	40_132_S40counts	64_132_S64counts	88_132_S88counts	17_133_S17counts	41_133_S41counts	65_133_S65counts	89_133_S89counts	18_134_S18counts	42_134_S42counts	66_134_S66counts	90_134_S90counts	19_135_S19counts	43_135_S43counts	67_135_S67counts	91_135_S91counts	20_136_S20counts	44_136_S44counts	68_136_S68counts	92_136_S92counts	21_137_S21counts	45_137_S45counts	69_137_S69counts	93_137_S93counts	22_138_S22counts	46_138_S46counts	70_138_S70counts	94_138_S94counts	23_139_S23counts	47_139_S47counts	71_139_S71counts	95_139_S95counts	24_ctrl_S24counts	48_ctrl_S48counts	72_ctrl_S72counts	96_ctrl_S96counts
id0012369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0.173	0.074	0.134	0.052	0	0	0	0	0	0	0	0	0.096	0.038	0	0	0	0.04	0.069	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0.035	0.064	0	0	0	0	0	0	0	0	0	0.069	0.029	0.04	0.137	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0
id0012029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0011932	0	0	0.048	0	0	0	0	0	0.202	0.058	0.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0011746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.035	0	0	0	0	0	0	0	0.029	0	0	0.035	0	0	0	0	0.092	0	0	0	0.065	0	0	0	0	0	0	0	0	0	0
id0011658	0.044	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0.087	0.119	0.087	0.047	0	0	0	0	0	0	0	0	0	0	0	0.251	0.035	0.028	0	0	0.043	0	0.066	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0011600	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.074	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0.104	0.116	0.04	0.137	0.132	0.092	0.28	0.241	0	0.065	0	0.146	0.124	0.305	0	0	0	0	0	0
id0011535	0.044	0.032	0	0	7.402	8.187	4.379	6.95	0	0	0	0	0	0	0	0	0	0	0	0	6.25	8.995	8.251	1.754	0	0	0	0	1.592	0.521	0.982	0.522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	60.891	25.34	36.174	12.06	0.035	0.055	69.429	16.667	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0.11	0	0	0	0	0	0	0	0.28	0	0	0	0	0	38.862	41.608	28.786	25.714	0	0	0	0
id0011511	0	0.063	0.096	0.083	0	0	0	0	1.067	1.074	1.181	0.763	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0
id0011444	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.074	0.089	0.104	0	0	0	0	0	0	0	0	0	0.038	0	0	0.108	0	0.017	0	0	0	0	0	0	0.028	0	0	0	0.032	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0.044	0	0.093	0	0	0	0.039	0	0	0	0	0	0	0	0	0
id0010917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.446	0	0	0	0	0.04	0.071	0	0.162	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0.049	0.032	0.196	0	0	0	0	0	0	0	0	0
id0010875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427	0.67	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.035	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0.04	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0010669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0.045	0.052	0	0	0	0	0	0	0	0	0	0	0	0.111	0	0.04	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0.04	0.035	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0010195	0	0	0	0	0.203	0.117	0	0	0	0.029	0	0	0.042	0	0	0	0.117	0.032	0.049	0	0	0	0	0	0.047	0	0	0	0	0.037	0	0	0	0	0	0	0.058	0.024	0.029	0.023	0	0.038	0	0	0.217	0.081	0	0	0	0	0	0	0	0.028	0	0	0.043	0.128	0	0	0	0	0	0	0.08	0.071	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0010054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0.086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177	0.229	0.513	0.482	0	0	0	0	0	0	0	0	0	0	0	0
id0009882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0.134	0.052	0	0	0	0	0	0	0	0	0.048	0	0	0.111	0.054	0	0	0	0	0	0	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.029	0	0.069	0.044	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0009760	0	0	0	0	0.284	0.176	0	0	0	0	0	0	0.042	0.088	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0.141	0	0	0.03	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0009550	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.513	0.241	0	0	0	0	0	0	0	0	0	0	0	0
id0009395	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.177	0	0	0.253	0.261	0	0	0.069	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0009251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0.052	0	0	0	0	0	0	0	0	0	0.038	0	0	0	0	0.035	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0.064	0.162	0	0	0	0	0	0	0	0	0	0	0.079	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0
id0008956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.113	0.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0008954	0.044	0	0	0	0	0	0	0	0.144	0.058	0.163	0.382	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0008952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0.148	0	0	0	0	0	0	0	0	0	0	0.048	0.264	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.058	0	0	0.044	0.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0008787	0	0	0.048	0	0	0	0	0	0.087	0.116	0.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0008663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0.069	0.058	0.04	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0008511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0.035	0	0	0	0.043	0	0	0	0	0.047	0	0	0.04	0	0.064	0	0	0	0	0	0.072	0	0	0	0	0.029	0	0	0	0	0	0	0.097	0	0.039	0	0	0	0	0	0	0	0	0
id0008320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.111	0	0	0	0	0	0	0	0	0	0	0	0.038	0	0	0	0.04	0	0	0	0	0	0	0	0.028	0	0	0.213	0.128	0	0	0	0.047	0	0	0.598	0.247	0.128	0	0	0	0	0	0	0.087	0	0	0.035	0.029	0	0	0.044	0	0	0	0.34	0.162	0.118	0.073	0	0	0	0	0	0	0	0
id0007472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.035	0.128	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0.049	0.032	0.039	0	0	0	0	0	0	0	0	0
id0007417	0	0	0	0	0.122	0.117	0	0	0	0	0	0	0	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0006919	0	0	0	0	0.122	0.292	0	0	0	0	0	0	0.167	0	0	0	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0006719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0.04	0	0	0.162	0	0	0	0	0.072	0.029	0	0	0	0	0	0	0	0	0	0	0	0.065	0	0.146	0	0	0	0	0	0	0	0
id0006380	2.805	2.273	6.109	7.91	0	0	0	0	0	0	0	0	0	0	0	0	0.233	0.191	0.345	0	22.333	23.825	24.202	43.158	0	0	0	0	0.035	0.074	0	0	0.106	0	0	0	0	0	0	0	1.057	0.829	2.166	4.661	0.434	0.161	0.431	0.207	0	0	0	0	0	0.028	0.041	0	0.085	0.032	0.132	0	0.339	0.284	0.4	0.335	0.399	0.212	0.064	0.162	0	0.025	0.051	0	0.398	0.465	0	0	4.699	6.174	3.564	3.23	0.044	0	0.234	0.964	16.051	15.628	10.88	4.237	0	0	0	0	0	0	0	0
id0006357	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094	0	0.054	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.822	26.856	64.168	68.095	0	0	0	0
id0005513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0.042	0	0	0	0	0	0	0.048	0.038	0	0	0	0	0	0	0	0	0	0	0.035	0.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0005282	0	0	0	0	0.244	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0.03	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0004712	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0.052	0	0.042	0	0	0	0	0	0	0.24	0.414	0	0	0.054	0.121	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0.07	0.087	0	0	0.088	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0004018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0.226	0	0	0	0	0	0	0	0	0	0
id0003895	0	0	0.048	0	0	0	0	0	0.173	0	0.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0003736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0.128	0	0	0	0	0	0	0.12	0.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0003486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0.054	0.04	0	0	0	0	0	0	0	0.028	0	0	0	0.032	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221	0.229	0.047	0.241	0	0	0	0	0	0	0	0	0	0	0	0
id0002942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0.671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0002348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.042	0	0	0	0	0	0	0.096	0.038	0	0	0	0.04	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0.032	0	0.073	0	0	0	0	0	0	0	0
id0002321	0	0	0	0	0	0	0	0	0.116	0.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.042	0	0	0.115	0.167	0.145	0.117	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.485	0.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0002263	0.131	0.189	0.337	0.083	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	1.49	1.332	0.768	0.602	5.607	9.185	4.643	5.584	0.053	0	0	0	0.115	0.024	0.029	0	0	0	0	0.111	1.356	1.819	1.294	0.103	0	0.057	0.174	0	0.664	0.634	0.367	0	14.498	12.853	13.232	34.375	1.209	1.323	0.858	1.508	40.43	33.097	38.059	49.029	0	0	0	0	8.713	12.06	6.519	9.836	2.488	3.275	2.891	4.261	4.545	5.309	3.685	0	30.107	27.446	26.984	57.195	0	0	0	0	0	0	0	0
id0002093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.037	0.089	0.209	0	0	0	0	0	0	0	0	0	0.038	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0001779	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.037	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.017	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0001049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0.076	0	0	0	0	0	0	0	0	0	0	0	0.155	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0000881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.186	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0000567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0.047	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0.085	0.032	0	0	0	0	0	0	0	0	0	0	0.03	0.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0000225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.258	0.993	0.229	0.168	0	0	0	0	0	0	0	0	0.108	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0.039	0	0	0	0	0	0	0	0	0
id0000165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.838	0.869	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0000079	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0.07	0	0	0	0	0	0	0.017	0	0	0.057	0	0	0	0	0	0	0	0	0.132	0.446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
